created_at,tweet,likes,retweet_count,user_id,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,tweet_lang,tweet_new,tweet_token,ds
2020-10-19 15:00:33,"If Biden wins the election Trump will ""listen to the scientists.""
https://t.co/QCJDApQAb7
#Trump #coronavirus #covid19",0,0,-2147483648,414,"New York, NY ",40.7127281,-74.0060152,New York,United States,North America,New York,NY,en,if biden wins the election trump will  listen to the scientists    trump coronavirus covid19,"['biden', 'win', 'elect', 'trump', 'listen', 'scientist', 'trump', 'coronaviru', 'covid19']",trump
2020-10-17 00:29:48,And in the blistering heat #Trump fans line up for nearly a mile hoping to get into rally in #Ocala - https://t.co/1t4GhXzhRS https://t.co/SWOR3xR3if,0,0,64785149,8223,USA,39.7837304,-100.4458825,,United States,North America,,,en,and in the blistering heat trump fans line up for nearly a mile hoping to get into rally in ocala    ,"['blister', 'heat', 'trump', 'fan', 'line', 'nearli', 'mile', 'hope', 'get', 'ralli', 'ocala', '']",trump
2020-10-19 04:48:51,@jcoulterbrown @realDonaldTrump One vote may not be enough. Even seniors abandon #Trump in record numbers over his mishandling of #COVID19 https://t.co/JGCumYXsKM,0,0,40769714,14399,"New York, NY",40.7127281,-74.0060152,New York,United States,North America,New York,NY,en,  one vote may not be enough  even seniors abandon trump in record numbers over his mishandling of covid19 ,"['', 'one', 'vote', 'may', 'enough', 'even', 'senior', 'abandon', 'trump', 'record', 'number', 'mishandl', 'covid19', '']",trump
2020-10-18 17:52:07,@jacobsoboroff Narcissist #Trump puts down others to make himself feel good about himself.,0,0,279164084,11670,"California, USA",36.7014631,-118.7559974,,United States,North America,California,CA,en, narcissist trump puts down others to make himself feel good about himself ,"['', 'narcissist', 'trump', 'put', 'other', 'make', 'feel', 'good', '']",trump
2020-10-18 00:23:04,"#Minnesota remains competitive. To be safe, #Biden needs to run ahead of Hillary in the Twin Cities to offset the likely #Trump gains in the Iron Range &amp; SE MN. If Biden runs at or below Hillary in Ramsey &amp; Hennepin, it probably won’t be enough.

@Barnes_Law what say you?",4,1,-2147483648,9736,"Washington, DC",38.8949924,-77.0365581,Washington,United States,North America,District of Columbia,DC,en,minnesota remains competitive  to be safe  biden needs to run ahead of hillary in the twin cities to offset the likely trump gains in the iron range  amp  se mn  if biden runs at or below hillary in ramsey  amp  hennepin  it probably won t be enough   _law what say you ,"['minnesota', 'remain', 'competit', 'safe', 'biden', 'need', 'run', 'ahead', 'hillari', 'twin', 'citi', 'offset', 'like', 'trump', 'gain', 'iron', 'rang', 'amp', 'se', 'mn', 'biden', 'run', 'hillari', 'ramsey', 'amp', 'hennepin', 'probabl', 'enough', '_law', 'say', '']",trump
2020-10-19 17:08:09,"This is who #trump is. #UNFIT #VoteHimOut 

I stand with #DrFauci! https://t.co/NMhN9wmbvX",3,2,16110770,8345,Chicago,41.87556160000001,-87.6244212,Chicago,United States,North America,Illinois,IL,en,this is who trump is  unfit votehimout   i stand with drfauci  ,"['trump', 'unfit', 'votehimout', 'stand', 'drfauci', '']",trump
2020-10-19 11:40:58,@RealDonaldTrump cares little about sending people to fight and die on his behalf #Trump,0,0,-2147483648,547,"New York, NY",40.7127281,-74.0060152,New York,United States,North America,New York,NY,en, cares little about sending people to fight and die on his behalf trump,"['', 'care', 'littl', 'send', 'peopl', 'fight', 'die', 'behalf', 'trump']",trump
2020-10-16 09:31:50,@jptrib1 @MSNBC I don’t think #TrumpLiesEverytimeHeSpeaks is gonna win against #Fauci #Trump,1,0,-2147483648,5066,"Brooklyn, NY",40.6501024,-73.9495829,New York,United States,North America,New York,NY,en,  i don t think trumplieseverytimehespeaks is gonna win against fauci trump,"['', 'think', 'trumplieseverytimehespeak', 'gonna', 'win', 'fauci', 'trump']",trump
2020-10-16 20:05:48,"Does anyone know what the black earpieces in #Biden's Mellon are for?
Has he lost his hearing or is he being fed cues?

#BlackLivesMatter #MAGA #MAGA2020LandslideVictory #Trump #TrumpPence2020 #Democrats #VOTE #VoteThemAllOut #Election2020 #ElectionDay #BidenLies",0,0,1126140709,422,"Ohio, USA",40.2253569,-82.6881395,,United States,North America,Ohio,OH,en,does anyone know what the black earpieces in biden s mellon are for  has he lost his hearing or is he being fed cues   blacklivesmatter maga maga2020landslidevictory trump trumppence2020 democrats vote votethemallout election2020 electionday bidenlies,"['anyon', 'know', 'black', 'earpiec', 'biden', 'mellon', 'lost', 'hear', 'fed', 'cue', 'blacklivesmatt', 'maga', 'maga2020landslidevictori', 'trump', 'trumppence2020', 'democrat', 'vote', 'votethemallout', 'election2020', 'electionday', 'bidenli']",trump
2020-10-15 11:10:48,For #POTUS #Trump's team to schedule a different #TownHall time on @NBCNews than the #BidenTownHall on @ABC would require statesmanship and maturity. #Debates2020 https://t.co/WaNO6RYAXu,0,0,107541947,393,New York,40.7127281,-74.0060152,New York,United States,North America,New York,NY,en,for potus trump s team to schedule a different townhall time on  than the bidentownhall on  would require statesmanship and maturity  debates2020 ,"['potu', 'trump', 'team', 'schedul', 'differ', 'townhal', 'time', 'bidentownhal', 'would', 'requir', 'statesmanship', 'matur', 'debates2020', '']",trump
2020-10-18 20:04:47,@WilliamCrozer45 @WhiteHouse @realDonaldTrump @POTUS #Trump #TRUMP2020Landside #Trump2020 #4MoreYears #VoteTrump2020ToSaveAmerica #VoteTrumpToSaveAmerica #MAGA #MAGA2020 #TRUMP2020 #WeLoveOurPresident #WeLoveYouTrump #WeLoveYouMrPresident #VoteRedToSaveAmerica #VoteRedLikeYourLifeDependsOnIt #VoteRedNov3rd #VoteRedStraightRed,0,0,-2147483648,111,"Colorado, USA",38.7251776,-105.6077167,,United States,North America,Colorado,CO,en,    trump trump2020landside trump2020 4moreyears votetrump2020tosaveamerica votetrumptosaveamerica maga maga2020 trump2020 weloveourpresident weloveyoutrump weloveyoumrpresident voteredtosaveamerica voteredlikeyourlifedependsonit voterednov3rd voteredstraightred,"['', 'trump', 'trump2020landsid', 'trump2020', '4moreyear', 'votetrump2020tosaveamerica', 'votetrumptosaveamerica', 'maga', 'maga2020', 'trump2020', 'weloveourpresid', 'weloveyoutrump', 'weloveyoumrpresid', 'voteredtosaveamerica', 'voteredlikeyourlifedependsonit', 'voterednov3rd', 'voteredstraightr']",trump
2020-10-18 00:40:18,President Donald Trump has done more things for the African American community than any other President with the exception of Abraham Lincoln because he did the Criminal Justice reform act and many other great things for the blacks #DonaldTrump #BlackVoicesForTrump #MAGA #Blacks,2,0,-2147483648,2,"Lawrenceville, GA",33.9562149,-83.9879625,,United States,North America,Georgia,GA,en,president donald trump has done more things for the african american community than any other president with the exception of abraham lincoln because he did the criminal justice reform act and many other great things for the blacks donaldtrump blackvoicesfortrump maga blacks,"['presid', 'donald', 'trump', 'done', 'thing', 'african', 'american', 'commun', 'presid', 'except', 'abraham', 'lincoln', 'crimin', 'justic', 'reform', 'act', 'mani', 'great', 'thing', 'black', 'donaldtrump', 'blackvoicesfortrump', 'maga', 'black']",trump
2020-10-15 21:15:15,https://t.co/yRa2ie8DCQ My latest for #TheNeutral #biden #trump #NYPost #HunterBiden #tech,1,1,-2147483648,86,"Austin, TX",30.2711286,-97.7436995,Austin,United States,North America,Texas,TX,en, my latest for theneutral biden trump nypost hunterbiden tech,"['', 'latest', 'theneutr', 'biden', 'trump', 'nypost', 'hunterbiden', 'tech']",trump
2020-10-16 01:59:55,"@realDonaldTrump Even Chris Christie called bs on your Covid position. He said that it was a huge mistake not to wear a mask and that the virus can kill you. #TrumpLied217KAmericansDied #TrumpKnewAndDidNothing #TrumpIsANationalDisgrace #Trump #realDonaldTrump #WhiteHouse

https://t.co/CIUZ3ridoK",0,0,-2147483648,19,USA,39.7837304,-100.4458825,,United States,North America,,,en, even chris christie called bs on your covid position  he said that it was a huge mistake not to wear a mask and that the virus can kill you  trumplied217kamericansdied trumpknewanddidnothing trumpisanationaldisgrace trump realdonaldtrump whitehouse  ,"['', 'even', 'chri', 'christi', 'call', 'b', 'covid', 'posit', 'said', 'huge', 'mistak', 'wear', 'mask', 'viru', 'kill', 'trumplied217kamericansdi', 'trumpknewanddidnoth', 'trumpisanationaldisgrac', 'trump', 'realdonaldtrump', 'whitehous', '']",trump
2020-10-15 17:29:49,CDC ‘demoralized’ after Trump White House forces ‘line-by-line edits to official health guidance’ - #Biden #Harris #Trump #Pence #GOP #Republican #Democrat #Democrats #COVID19 #Covid #Coronavirus https://t.co/7eon7qZuBT,0,0,23954327,25760,United States,39.7837304,-100.4458825,,United States,North America,,,en,cdc  demoralized  after trump white house forces  line by line edits to official health guidance    biden harris trump pence gop republican democrat democrats covid19 covid coronavirus ,"['cdc', 'demor', 'trump', 'white', 'hous', 'forc', 'line', 'line', 'edit', 'offici', 'health', 'guidanc', 'biden', 'harri', 'trump', 'penc', 'gop', 'republican', 'democrat', 'democrat', 'covid19', 'covid', 'coronaviru', '']",trump
2020-10-16 21:03:40,"@jimmy_dore Pretty sure Biden would not be ahead in polls without #LincolnProject videos shining a hell of a lot of light. But okay. Everyone's bad. Except Trump, of course. Lol. This is more theater &amp; we've already had enough of that from #Trump but entertaining for some",0,0,281041461,238,Virginia,37.1232245,-78.4927721,,United States,North America,Virginia,VA,en,_dore pretty sure biden would not be ahead in polls without lincolnproject videos shining a hell of a lot of light  but okay  everyone s bad  except trump  of course  lol  this is more theater  amp  we ve already had enough of that from trump but entertaining for some,"['_dore', 'pretti', 'sure', 'biden', 'would', 'ahead', 'poll', 'without', 'lincolnproject', 'video', 'shine', 'hell', 'lot', 'light', 'okay', 'everyon', 'bad', 'except', 'trump', 'cours', 'lol', 'theater', 'amp', 'alreadi', 'enough', 'trump', 'entertain']",trump
2020-10-16 16:29:45,"@CaslerNoel @realDonaldTrump I've seen him in action back in the late 90's outside TT with @realDonaldTrump as #trump was screaming his lungs out at street vendors ""you're ruining my image, get the hell off my block"" as KS was destroying their merchandize. It was scary to watch 🥴",57,11,-2147483648,3232,New York ➡ Las Vegas➡ Miami,40.7127281,-74.0060152,New York,United States,North America,New York,NY,en,  i ve seen him in action back in the late 90 s outside tt with  as trump was screaming his lungs out at street vendors  you re ruining my image  get the hell off my block  as ks was destroying their merchandize  it was scary to watch  ,"['', 'seen', 'action', 'back', 'late', '90', 'outsid', 'tt', 'trump', 'scream', 'lung', 'street', 'vendor', 'ruin', 'imag', 'get', 'hell', 'block', 'k', 'destroy', 'merchand', 'scari', 'watch', '']",trump
2020-10-17 21:05:13,"@EricTrump #erictrump getting his ego stroked, risking people's health, and standing in front of a ""flag"" that violates the United States Flag Code. a real UN-American ""patriot."" definitely a #Trump.",0,0,74646086,146,NJ,40.0757384,-74.4041622,,United States,North America,New Jersey,NJ,en, erictrump getting his ego stroked  risking people s health  and standing in front of a  flag  that violates the united states flag code  a real un american  patriot   definitely a trump ,"['', 'erictrump', 'get', 'ego', 'stroke', 'risk', 'peopl', 'health', 'stand', 'front', 'flag', 'violat', 'unit', 'state', 'flag', 'code', 'real', 'un', 'american', 'patriot', 'definit', 'trump', '']",trump
2020-10-16 03:30:06,"Who Would You Vote for If The Election Was Tomorrow Since The Town Halls ? 
#Election2020 #EarlyVoting #VoteBiden #TurnTexasBlue #VoteHimOut2020 #VOTE #CROOKEDJOE #DonaldTrump #JOEBIDEN2020 #JoeBidenTownHall #Trump2020Landslide @realDonaldTrump @JoeBiden @CNN @MSNBC #BidenCares",2,0,-2147483648,223,Pensacola Florida ,30.421309,-87.2169149,Pensacola,United States,North America,Florida,FL,en,who would you vote for if the election was tomorrow since the town halls    election2020 earlyvoting votebiden turntexasblue votehimout2020 vote crookedjoe donaldtrump joebiden2020 joebidentownhall trump2020landslide     bidencares,"['would', 'vote', 'elect', 'tomorrow', 'sinc', 'town', 'hall', 'election2020', 'earlyvot', 'votebiden', 'turntexasblu', 'votehimout2020', 'vote', 'crookedjo', 'donaldtrump', 'joebiden2020', 'joebidentownhal', 'trump2020landslid', 'bidencar']",trump
2020-10-19 16:48:05,@LizForTX8 I'd love to hear #Trump's but he's not classy enough to give one.,0,0,28922674,88,Wisconsin,44.4308975,-89.6884637,,United States,North America,Wisconsin,WI,en, i d love to hear trump s but he s not classy enough to give one ,"['', 'love', 'hear', 'trump', 'classi', 'enough', 'give', 'one', '']",trump
2020-10-16 11:23:35,@NewDay @CNN @ddale8 All you need to do is look at the #Biden family compared to the #Trump family.  #CriminalJoeBiden funded his sons drug habit.  #MAGA #KAG,2,0,33612176,174,USA,39.7837304,-100.4458825,,United States,North America,,,en,   all you need to do is look at the biden family compared to the trump family   criminaljoebiden funded his sons drug habit   maga kag,"['', 'need', 'look', 'biden', 'famili', 'compar', 'trump', 'famili', 'criminaljoebiden', 'fund', 'son', 'drug', 'habit', 'maga', 'kag']",trump
2020-10-15 14:27:13,"You mean like those free campaign commercials #Trump was using in the White House, masquerading as #COVID briefings.

Where the he'll are you going to find a job Ronna. No one will ever hire you.  Ever. https://t.co/hLlhWtBGxt",0,0,-2147483648,387,"Palm Springs, CA",33.7721794,-116.4952977,Palm Springs,United States,North America,California,CA,en,you mean like those free campaign commercials trump was using in the white house  masquerading as covid briefings   where the he ll are you going to find a job ronna  no one will ever hire you   ever  ,"['mean', 'like', 'free', 'campaign', 'commerci', 'trump', 'use', 'white', 'hous', 'masquerad', 'covid', 'brief', 'go', 'find', 'job', 'ronna', 'one', 'ever', 'hire', 'ever', '']",trump
2020-10-18 23:45:52,@Toure @gtconway3d Because the letter Q = ignorant pedo group blaming other for their own activities and well #trump is one himself case court proves the fact,0,0,-2147483648,138,ohio,40.2253569,-82.6881395,,United States,North America,Ohio,OH,en,  because the letter q   ignorant pedo group blaming other for their own activities and well trump is one himself case court proves the fact,"['', 'letter', 'q', 'ignor', 'pedo', 'group', 'blame', 'activ', 'well', 'trump', 'one', 'case', 'court', 'prove', 'fact']",trump
2020-10-15 05:10:41,"@larkwood6 @MysterySolvent @nbc JUST DELETED ALL #NBC programming on my DVR. Like uncoupling, I have ""un-choiced"" NBC! No #NBCtownhall  Bye @SavannahGuthrie! #FireChuckTodd  #NBCNewsIsASellout

Of course, #Trump's not shedding the infectious #virus,  he never had it. @NBCNews should know that! #TrumpCovidHoax",4,2,-2147483648,628,"California, USA",36.7014631,-118.7559974,,United States,North America,California,CA,en,   just deleted all nbc programming on my dvr  like uncoupling  i have  un choiced  nbc  no nbctownhall  bye   firechucktodd  nbcnewsisasellout  of course  trump s not shedding the infectious virus   he never had it   should know that  trumpcovidhoax,"['', 'delet', 'nbc', 'program', 'dvr', 'like', 'uncoupl', 'un', 'choic', 'nbc', 'nbctownhal', 'bye', 'firechucktodd', 'nbcnewsisasellout', 'cours', 'trump', 'shed', 'infecti', 'viru', 'never', 'know', 'trumpcovidhoax']",trump
2020-10-16 11:30:28,@realDonaldTrump #FailureInChief #DonaldTrump @MSNBC @NBCNews #RemoveTrump #LiarInChief #VoteBidenHarris2020 @JoeBiden,1,1,279068769,74,"New York, USA",40.7127281,-74.0060152,New York,United States,North America,New York,NY,en, failureinchief donaldtrump   removetrump liarinchief votebidenharris2020 ,"['', 'failureinchief', 'donaldtrump', 'removetrump', 'liarinchief', 'votebidenharris2020', '']",trump
2020-10-19 04:37:09,@jeancosme Even seniors abandon #Trump in record numbers over his mishandling of #COVID19 https://t.co/JGCumYXsKM,1,0,40769714,14399,"New York, NY",40.7127281,-74.0060152,New York,United States,North America,New York,NY,en, even seniors abandon trump in record numbers over his mishandling of covid19 ,"['', 'even', 'senior', 'abandon', 'trump', 'record', 'number', 'mishandl', 'covid19', '']",trump
2020-10-15 20:00:51,"@THR I'm sure they have DVRs, if they are that worried about missing what @realDonaldTrump has to say record one and watch the other later.

😂😂😂😂

#VoteTrump2020
#Trump
#CrookedJoeBiden",0,0,18931014,1774,"Tallahassee, FL",30.4380832,-84.2809332,Tallahassee,United States,North America,Florida,FL,en, i m sure they have dvrs  if they are that worried about missing what  has to say record one and watch the other later         votetrump2020 trump crookedjoebiden,"['', 'sure', 'dvr', 'worri', 'miss', 'say', 'record', 'one', 'watch', 'later', 'votetrump2020', 'trump', 'crookedjoebiden']",trump
2020-10-16 09:28:36,"#JoeBidenCrimeFamily #JoeBidenUkraineScandal #CrookedJoeBiden .

#Trump #Trump2020 #MAGA",0,0,851585324,3510,"Washington, DC",38.8949924,-77.0365581,Washington,United States,North America,District of Columbia,DC,en,joebidencrimefamily joebidenukrainescandal crookedjoebiden    trump trump2020 maga,"['joebidencrimefamili', 'joebidenukrainescand', 'crookedjoebiden', 'trump', 'trump2020', 'maga']",trump
2020-10-17 23:05:00,"President Trump has nearly admitted that he now owes creditors about $400 million, and he has denied that he owes Russia money. #Trump",0,0,-2147483648,0,"Muncie, IN",40.19368920000001,-85.3865271,Muncie,United States,North America,Indiana,IN,en,president trump has nearly admitted that he now owes creditors about  400 million  and he has denied that he owes russia money  trump,"['presid', 'trump', 'nearli', 'admit', 'owe', 'creditor', '400', 'million', 'deni', 'owe', 'russia', 'money', 'trump']",trump
2020-10-15 21:15:10,"Suburban Women T-Shirt 20% Off with code: ZAZDAY4DEALS Today!
https://t.co/nuTY2cflxc via @zazzle 
#Trump #Election2020 #BlueWave",1,0,17907551,952,"Seattle, WA シアトル在住",47.6038321,-122.3300624,Seattle,United States,North America,Washington,WA,en,suburban women t shirt 20  off with code  zazday4deals today   via   trump election2020 bluewave,"['suburban', 'woman', 'shirt', '20', 'code', 'zazday4d', 'today', 'via', 'trump', 'election2020', 'bluewav']",trump
